de: Ich gehöre zu denen, die die besondere Schönheit des wissenschaftlichen Forschens erfasst haben. Ein Gelehrter in einem Laboratorium ist nicht nur ein Techniker, er steht auch vor den Naturvorgängen wie ein Kind vor einer Märchenwelt.	it: Sono fra coloro che pensano che la scienza abbia una grande bellezza. Uno studioso nel suo laboratorio non è solo un tecnico, è anche un bambino messo di fronte a fenomeni naturali che lo impressionano come una fiaba. Non dobbiamo lasciar credere che ogni progresso scientifico si riduca a dei meccanismi, a delle macchine, degli ingranaggi, che pure hanno anch'essi una loro bellezza. Io non credo che nel nostro mondo lo spirito d'avventura rischi di scomparire. Se vedo attorno a me qualcosa di vitale, è proprio questo spirito d'avventura che mi sembra impossibile da sradicare, e che ha molto in comune con la curiosità.	en: I am among those who think that science has great beauty. A scientist in his laboratory is not only a technician: he is also a child placed before natural phenomena which impress him like a fairy tale. We should not allow it to be believed that all scientific progress can be reduced to mechanisms, machines, gearings, even though such machinery also has its beauty. Neither do I believe that the spirit of adventure runs any risk of disappearing in our world. If I see anything vital around me, it is precisely that spirit of adventure, which seems indestructible and is akin to curiosity.
de: Ich möchte meiner Heimat ein Geschenk machen, Pierre. Ich möchte das Element Polonium nennen.		
de: Pierre Curie stand am Beginn eines neuen Lebensabschnittes, der ihm zugleich mit mächtigeren Hilfsmitteln die natürliche Fortsetzung einer großen wissenschaftlichen Laufbahn gebracht hätte.		
de: Sie müssen ihr Talent entdecken und benutzen. Sie müssen herausfinden, wo ihre Stärke liegt. Haben Sie den Mut, mit ihrem Kopf zu denken. Das wird ihr Selbstvertrauen und ihre Kräfte verdoppeln.		
de: Warum können wir die Elemente nicht einfach als die Strahlenden bezeichnen? Wir können dafür auch ein lateinisches Wort nehmen und sie radioaktive Elemente nennen. Ihre Eigenschaft, Strahlen auszusenden, können wir als Strahlungstätigkeit oder Radioaktivität bezeichnen.		
de: Wir dürfen nicht hoffen, eine bessere Welt zu erbauen, ehe nicht die Individuen besser werden. In diesem Sinn soll jeder von uns an seiner eigenen Vervollkommnung arbeiten, indem er auf sich nimmt, was ihm im Lebensganzen der Menschheit an Verantwortlichkeit zukommt, und sich seiner Pflicht bewusst bleibt, denen zu helfen, denen er am ehesten nützlich sein kann.	en: You cannot hope to build a better world without improving the individuals. To that end each of us must work for his own improvement, and at the same time share a general responsibility for all humanity, our particular duty being to aid those to whom we think we can be most useful.	
en: All my life through, the new sights of Nature made me rejoice like a child.		
en: Be less curious about people and more curious about ideas.		
en: Humanity needs practical men, who get the most out of their work, and, without forgetting the general good, safeguard their own interests. But humanity also needs dreamers, for whom the disinterested development of an enterprise is so captivating that it becomes impossible for them to devote their care to their own material profit. Without doubt, these dreamers do not deserve wealth, because they do not desire it. Even so, a well-organized society should assure to such workers the efficient means of accomplishing their task, in a life freed from material care and freely consecrated to research.		
en: I am one of those who think like Nobel, that humanity will draw more good than evil from new discoveries.		
en: I believe international work is a heavy task, but that it is nevertheless indispensable to go through an apprenticeship in it, at the cost of many efforts and also of a real spirit of sacrifice: however imperfect it may be, the work of Geneva has a grandeur that deserves our support.		
en: I have no dress except the one I wear every day. If you are going to be kind enough to give me one, please let it be practical and dark so that I can put it on afterwards to go to the laboratory.		
en: I was taught that the way of progress was neither swift nor easy.		
en: Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves. We must believe that we are gifted for something, and that this thing, at whatever cost, must be attained.		
en: Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.	it: Della vita non bisogna temere nulla. Bisogna solo capire.	
en: One never notices what has been done; one can only see what remains to be done.		
en: There are sadistic scientists who hurry to hunt down errors instead of establishing the truth.		
en: We must not forget that when radium was discovered no one knew that it would prove useful in hospitals. The work was one of pure science. And this is a proof that scientific work must not be considered from the point of view of the direct usefulness of it. It must be done for itself, for the beauty of science, and then there is always the chance that a scientific discovery may become like the radium a benefit for humanity.		
it: A questo punto, era necessario trovare un nuovo termine per definire questa nuova proprietà della materia, manifestata dagli elementi di uranio e torio. Io proposi la parola radioattività.		
it: Ho potuto apprezzare la lucidità della sua mente, l'ampiezza della sua documentazione e la profondità delle sue conoscenze... Ci sono buoni motivi per considerarlo un fisico di grandi speranze e uno dei massimi teorici del futuro.		
it: Per detestare l'idea stessa della guerra, basterebbe vedere una volta ciò che io ho visto così spesso durante questi anni: uomini e ragazzi portati nelle ambulanze del fronte, in mezzo al sangue e al fango; molti di loro erano condannati a una morte rapida, altri a mesi di dolori e sofferenze.		
